Applicant_ID,Age,Gender,Employment_Type,Annual_Income,Credit_Score,Existing_Loans,Loan_Amount,Loan_Purpose,Eligibility,Approval_Probability
APP00001,59,Male,Salaried,271476,647,3,1038831,Vehicle,1,0.8158
APP00002,49,Female,Salaried,47995,736,4,975098,Home,0,0.4139
APP00003,35,Male,Self-Employed,105141,615,3,219820,Education,1,0.5425
APP00004,63,Female,Salaried,164491,532,3,621477,Personal,1,0.692
APP00005,28,Male,Freelancer,189909,692,3,339669,Home,1,0.7056
APP00006,41,Male,Self-Employed,95799,765,3,633536,Vehicle,1,0.5174
APP00007,59,Male,Self-Employed,204949,735,2,558892,Vehicle,1,0.6852
APP00008,39,Male,Salaried,255739,694,2,703278,Home,1,0.8665
APP00009,43,Female,Salaried,62276,780,1,139716,Education,1,0.7313
APP00010,31,Male,Salaried,59523,766,3,171919,Vehicle,1,0.6382
APP00011,31,Male,Salaried,222127,653,4,544968,Home,1,0.8405
APP00012,44,Male,Salaried,35514,699,0,105619,Medical,1,0.6566
APP00013,56,Male,Self-Employed,72456,703,1,65037,Personal,1,0.6283
APP00014,60,Male,Freelancer,32233,673,0,634257,Home,0,0.4333
APP00015,44,Male,Freelancer,288246,770,0,1169691,Home,1,0.8406
APP00016,23,Female,Self-Employed,91133,667,3,68914,Vehicle,0,0.4865
APP00017,42,Female,Salaried,129085,639,4,1165831,Business,1,0.5321
APP00018,22,Female,Freelancer,134101,472,0,544637,Home,1,0.6639
APP00019,44,Male,Freelancer,133684,616,0,216068,Home,1,0.5569
APP00020,64,Male,Salaried,119937,574,1,962057,Vehicle,1,0.6127
APP00021,50,Female,Business Owner,66548,676,4,562813,Personal,0,0.4568
APP00022,58,Male,Salaried,234272,579,4,1326668,Education,1,0.706
APP00023,22,Male,Business Owner,138815,728,0,548786,Education,1,0.6784
APP00024,41,Male,Unemployed,6183,768,4,946495,Personal,0,0.352
APP00025,53,Male,Salaried,152602,677,1,69790,Business,1,0.8082
APP00026,32,Male,Freelancer,151270,601,1,36245,Business,1,0.6974
APP00027,42,Male,Self-Employed,46182,702,1,1189886,Vehicle,0,0.4042
APP00028,64,Female,Unemployed,172,831,3,947424,Personal,0,0.4379
